review_status,score,paper_id,pmcid,pmid,doi,title,publication_date,journal,authors,has_xml,has_pdf,query_name,query_string,location_terms,pollutant_terms,health_terms,abstract_snippet,review_notes
review,4,europe_pmc_PMC12507303,PMC12507303,41060978,10.1371/journal.pone.0334252,"Machine learning-based forecasting of air quality index under long-term environmental patterns: A comparative approach with XGBoost, LightGBM, and SVM.",2025-10-08,,Tırınk S,True,False,aqi_india_pilot,"(""air quality index"" OR AQI OR ""ambient air pollution"" OR PM2.5 OR PM10) AND India",,"aqi, air quality index, air pollution","health, public health",Air pollution is a global problem that threatens environmental sustainability and severely affects public health. Monitoring air quality and predicting future pollution levels are critical for creatin...,
review,4,europe_pmc_PMC12976265,PMC12976265,41680275,10.1038/s41598-026-39232-w,"Ensemble learning for air quality index prediction: integrating gradient boosting, XGBoost, and stacking with SHAP-based interpretability.",2026-02-12,,Singh S; Kumar M; Sengar V; Kumar A; Abhishek K; Shafeeq BMA,True,False,aqi_india_pilot,"(""air quality index"" OR AQI OR ""ambient air pollution"" OR PM2.5 OR PM10) AND India",,"aqi, air quality index, pm2.5, pm10, air pollution",health,The increasing challenge of air pollution in cities requires smart methods to make proper predictions and manage the problem. Although machine learning and deep learning models have contributed greatl...,
review,3,europe_pmc_PMC12526560,PMC12526560,41094865,10.3390/s25196044,A Comprehensive Review of Data-Driven Techniques for Air Pollution Concentration Forecasting.,2025-10-01,,Bernacki J; Scherer R,True,False,aqi_india_pilot,"(""air quality index"" OR AQI OR ""ambient air pollution"" OR PM2.5 OR PM10) AND India",,"particulate matter, air pollution, ozone","respiratory, health, public health","Air quality is crucial for public health and the environment, which makes it important to both monitor and forecast the level of pollution. Polluted air, containing harmful substances such as particul...",
review,3,europe_pmc_PMC12586577,PMC12586577,41188403,10.1038/s41598-025-22474-5,"Accurate AQI forecasting in a high-altitude city using a simulated CVOCA-BiLSTM hybrid model: a case study of Lhasa, Tibet.",2025-11-04,,Xiao F; Cui X; Jiang G; Bu D; Zhang Q,True,False,aqi_india_pilot,"(""air quality index"" OR AQI OR ""ambient air pollution"" OR PM2.5 OR PM10) AND India",,"aqi, air quality index",,"Forecasting of the Air Quality Index (AQI) in high-altitude cities is significantly challenged by nonlinear temporal dynamics, particularly due to complex interactions between atmospheric physics and ...",
review,3,europe_pmc_PMC13002177,PMC13002177,41855425,10.7189/jogh.16.04087,A systematic review of observational studies on long-term air pollution exposure and epigenetic alterations in adults.,2026-03-20,,Yu L; Zhao Y; Chen W; Yu G; Miller MR; Li X; Theodoratou E,True,False,aqi_india_pilot,"(""air quality index"" OR AQI OR ""ambient air pollution"" OR PM2.5 OR PM10) AND India",,"particulate matter, ambient air pollution, air pollution","exposure, health","<h4>Background</h4>Evidence suggests that environmental exposures induce epigenetic modifications that can have long-lasting effects on multiple health outcomes, and an in-depth review of the epidemio...",
review,3,europe_pmc_PMC13045793,PMC13045793,41939286,10.5334/gh.1545,Impact of Ambient Air Pollution on Cardiovascular Diseases in Low- and Lower-Middle-Income Countries: A Systematic Review and Meta-Analysis.,2026-03-30,,Adeoye M; Evans N; Rahimzadeh S; Shrikhande S; Taylor S; Perel P; Shah A; Di Cesare M; Miller MR,True,False,aqi_india_pilot,"(""air quality index"" OR AQI OR ""ambient air pollution"" OR PM2.5 OR PM10) AND India",,"particulate matter, ambient air pollution, air pollution","exposure, mortality, cardiovascular, health","Air pollution contributes to over 8.1 million deaths annually, predominantly from cardiovascular causes. The burden of air pollution is significantly higher in low-income countries (LICs) and lower mi...",
review,3,europe_pmc_PMC13064970,PMC13064970,41970007,10.4103/ijoem.ijoem_328_25,Effectiveness of Personal-Level Protective Measures Against Air Pollution on Respiratory Health: A Systematic Review and Meta-Analysis of Randomized Controlled Trials.,2026-01-01,,Mudgal SK; Kumar S; Varikasuvu SR; Varshney S; Huda RK; Sharma SK; Gaur R; Patidar V; Singhal S; Khatib MN,True,False,aqi_india_pilot,"(""air quality index"" OR AQI OR ""ambient air pollution"" OR PM2.5 OR PM10) AND India",,"particulate matter, air pollution","exposure, respiratory, cardiovascular, health","Air pollution, particularly fine particulate matter (PM₂.₅), poses a significant global health risk, contributing to respiratory, and cardiovascular diseases. While personal-level interventions such a...",
review,3,europe_pmc_PMC13067908,PMC13067908,41941397,10.12659/msm.953109,A Review of the Increasing Impact and Effects of Air Pollution Throughout Life and Before Birth.,2026-04-06,,Parums DV,True,False,aqi_india_pilot,"(""air quality index"" OR AQI OR ""ambient air pollution"" OR PM2.5 OR PM10) AND India",,"pm2.5, pm10, particulate matter, air pollution, ozone","mortality, health, public health","The World Health Organization (WHO) continues to declare air pollution as a public health emergency and the most significant environmental threat to human health, and as a leading cause of premature d...",
review,3,europe_pmc_PMC13132106,PMC13132106,42077251,10.21315/mjms-08-2025-s02,Climate Cognition Crisis: Urgent Call to Address Air Pollution and Extreme Heat Impacts in Learning Environments of Children in South and Southeast Asia.,2025-10-31,,Sahni PS; Dewan S; Sachdeva M; Ranathunga N; Fadhullah W; Abdullah JM; Roy T; Pal B; Baloch S; Adhikari B; Ikiz B; Mishra J,True,False,aqi_india_pilot,"(""air quality index"" OR AQI OR ""ambient air pollution"" OR PM2.5 OR PM10) AND India",,air pollution,"health, public health","The climate crisis combined with air pollution is increasingly disrupting the foundational conditions for healthy cognitive development and learning, particularly among children in vulnerable regions....",
review,3,europe_pmc_PMC13159321,PMC13159321,41913165,10.1186/s12889-026-27175-w,The association between physical activity and cardiovascular disease under indoor air pollution among middle-aged-to-elderly people: a sex-specific analysis from CHARLS.,2026-03-30,,Xie H; Chen B; Xia F; Xia J,True,False,aqi_india_pilot,"(""air quality index"" OR AQI OR ""ambient air pollution"" OR PM2.5 OR PM10) AND India",,air pollution,"exposure, cardiovascular, health","BACKGROUND: The associations between physical activity (PA) and outdoor air pollution with cardiovascular disease (CVD) are well established, but evidence regarding indoor air pollution remains scarce...",
review,1,europe_pmc_PMC13047111,PMC13047111,41938012,10.3389/fgwh.2026.1709985,Impact of climate change on spontaneous abortion: a systematic review and meta-analysis.,2026-03-20,,Angaw DA; Andargie BA; Muhumuza N; Nakanwagi G; Mulumba M,True,False,aqi_india_pilot,"(""air quality index"" OR AQI OR ""ambient air pollution"" OR PM2.5 OR PM10) AND India",,"particulate matter, air pollution, ozone, carbon monoxide","exposure, health",<h4>Purpose</h4>This systematic review and meta-analysis was conducted to synthesize the existing evidence on the association between climate change-related factors and spontaneous abortion.<h4>Patien...,
review,0,europe_pmc_PMC12355607,PMC12355607,40823218,10.3389/fpubh.2025.1632713,Study on the evolution patterns and predictive modeling of ambient air quality in oasis cities of arid regions: a case study of Urumqi.,2025-08-01,,Jing B; Xiaofeng R,True,False,aqi_india_pilot,"(""air quality index"" OR AQI OR ""ambient air pollution"" OR PM2.5 OR PM10) AND India",,"aqi, air quality index, particulate matter, air pollution, ozone",,"<h4>Background</h4>This study investigates the evolution patterns and future trends of ambient air quality in oasis cities within arid regions, with Urumqi as a representative case.<h4>Methods</h4>Uti...",
review,-1,europe_pmc_PMC12518576,PMC12518576,41083460,10.1038/s41598-025-15698-y,IoT-Driven classroom air quality management with deep hierarchical cluster analysis.,2025-10-13,,Pravin Renold A; Arockia Abins A; Katiravan J,True,False,aqi_india_pilot,"(""air quality index"" OR AQI OR ""ambient air pollution"" OR PM2.5 OR PM10) AND India",,,health,"Poor classroom air quality and high levels of dust have a detrimental impact on student health, comfort, and productivity. To address this issue, we propose an IoT enabled system for monitoring and pr...",
review,-1,europe_pmc_PMC12992860,PMC12992860,41588194,10.1007/s41030-026-00347-0,Climate Change and the Impact On Interstitial Lung Diseases.,2026-01-26,,Ahluwalia B; Singh S,True,False,aqi_india_pilot,"(""air quality index"" OR AQI OR ""ambient air pollution"" OR PM2.5 OR PM10) AND India",,,"exposure, epidemiology","<h4>Purpose of review</h4>This review aims to summarize the latest evidence on how climate change has altered the environmental exposures and their influence on the epidemiology, pathophysiology, and ...",
