keyword,count
climate change,52
mental health,40
Africa,21
climate anxiety,20
anxiety,16
Nigeria,13
Kenya,13
children,9
women,9
depression,9
extreme weather events,8
mental health outcomes,7
Ghana,7
fear,7
PTSD,7
Namibia,6
Climate anxiety,6
emotional distress,5
African,5
African countries,5
schoolchildren,4
HIV,4
psychological distress,4
scoping review,4
Rwanda,4
informal settlements,4
stress,4
HICs,4
floods,3
mental health disorders,3
search strategy,3
flooding,3
food insecurity,3
suicidality,3
LMICs,3
search strings,3
Tanzania,3
Maasai migrants,3
loneliness,3
PTSD symptoms,3
community social cohesion,3
professional identity,3
social capital,3
environmental degradation,3
helplessness,3
Climate Change,2
Mental Health,2
research gaps,2
PubMed,2
Web of Science,2
