keyword,count
nursing students,99
climate change,82
anxiety,45
climate change awareness,34
PMS,27
women,26
stress,25
climate stress,22
premenstrual syndrome,14
female nursing students,14
climate change anxiety,12
premenstrual symptoms,11
medical students,11
Nursing students,10
Climate change,9
mental health,9
climate anxiety,9
hopelessness,8
Climate stress,8
nurses,8
depression,8
Stress,7
stressors,7
sadness,7
students,7
stress management,7
menstrual health,6
worry,6
helplessness,6
menstrual cycle,6
anger,6
human health,6
transactional model,6
emotional responses,6
PMS symptoms,6
Climate change awareness,6
Women,5
reproductive health,5
coping,5
psychological distress,5
guilt,5
Matrouh University,4
Premenstrual syndrome,4
extreme weather events,4
Egypt,4
coping strategies,4
female students,4
age,4
Likert scale,4
perceived stress,4
