,Info_By_EuropePMC_Api
downloaded,True
htmlmade,False
id,PMC13290584
source,PMC
pmcid,PMC13290584
fullTextIdList,{'fullTextId': 'PMC13290584'}
title,Diurnal asymmetric warming promotes the growth of the perennial species Sophora alopecuroides in a temperate arid region of China
authorString,"Liu Y, Zhao H, Bai Y, Liu M, Zhou G, Shang T, Zhao Y."
authorList,"{'author': [{'fullName': 'Liu Y', 'firstName': 'Ying', 'lastName': 'Liu', 'initials': 'Y', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'School of Chemistry and Environmental Science, Shangrao Normal University , ,'}}}, {'fullName': 'Zhao H', 'firstName': 'Hongmei', 'lastName': 'Zhao', 'initials': 'H', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'School of Chemistry and Environmental Science, Shangrao Normal University , ,'}}}, {'fullName': 'Bai Y', 'firstName': 'Yijun', 'lastName': 'Bai', 'initials': 'Y', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'School of Culture and Tourism Industry, Shangrao Normal University , ,'}}}, {'fullName': 'Liu M', 'firstName': 'Mingxia', 'lastName': 'Liu', 'initials': 'M', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'School of Culture and Tourism Industry, Shangrao Normal University , ,'}}}, {'fullName': 'Zhou G', 'firstName': 'Gan', 'lastName': 'Zhou', 'initials': 'G', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'School of Culture and Tourism Industry, Shangrao Normal University , ,'}}}, {'fullName': 'Shang T', 'firstName': 'Tiancui', 'lastName': 'Shang', 'initials': 'T', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'School of Biological Science and Technology, Yili Normal University , , ,'}}}, {'fullName': 'Zhao Y', 'firstName': 'Yu', 'lastName': 'Zhao', 'initials': 'Y', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'School of Culture and Tourism Industry, Shangrao Normal University , ,'}}}]}"
journalInfo,"{'volume': '17', 'journalIssueId': '4221092', 'dateOfPublication': None, 'monthOfPublication': '0', 'yearOfPublication': '0', 'journal': {'title': 'Frontiers in plant science', 'ISOAbbreviation': 'Front Plant Sci', 'medlineAbbreviation': 'Front Plant Sci', 'NLMid': '101568200', 'ISSN': '1664-462X', 'ESSN': '1664-462X'}}"
language,eng
pubModel,Undetermined
pubTypeList,"{'pubType': ['research-article', 'Journal Article']}"
keywordList,"{'keyword': ['Biomass allocation', 'Sophora alopecuroides', 'Functional Traits', 'Asymmetric Warming', 'Physiochemical Indicators']}"
fullTextUrlList,"{'fullTextUrl': [{'availability': 'Free', 'availabilityCode': 'F', 'documentStyle': 'html', 'site': 'PubMedCentral', 'url': 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13290584/?tool=EBI'}, {'availability': 'Free', 'availabilityCode': 'F', 'documentStyle': 'pdf', 'site': 'PubMedCentral', 'url': 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13290584/pdf/?tool=EBI'}, {'availability': 'Free', 'availabilityCode': 'F', 'documentStyle': 'html', 'site': 'Europe_PMC', 'url': 'https://europepmc.org/articles/PMC13290584'}, {'availability': 'Free', 'availabilityCode': 'F', 'documentStyle': 'pdf', 'site': 'Europe_PMC', 'url': 'https://europepmc.org/articles/PMC13290584?pdf=render'}]}"
isOpenAccess,Y
inEPMC,Y
inPMC,Y
hasPDF,Y
hasBook,N
hasSuppl,N
citedByCount,0
hasData,N
hasReferences,N
hasTextMinedTerms,Y
hasDbCrossReferences,N
hasLabsLinks,N
license,cc by
hasEvaluations,N
authMan,N
epmcAuthMan,N
nihAuthMan,N
hasTMAccessionNumbers,N
dateOfCreation,2026-06-26
firstIndexDate,2026-06-26
fullTextReceivedDate,2026-06-26
dateOfRevision,2026-06-26
firstPublicationDate,2026-06-26
